PL,NAME,YEAR,TEAM,Avg. Mile,t_min,t_sec,TIME,SCORE,race,minutes,distance
140,Kelsie Heins,SO-2,Concordia (Neb.),06:47.0,21,04.6,21:04.6,109,2024GreenoDirksenCrossCountryInvitational,21.076666666666668,5
141,Allie Czapla,FR-1,Wayne State (Neb.),06:47.3,21,05.5,21:05.5,110,2024GreenoDirksenCrossCountryInvitational,21.091666666666665,5
142,Catherine Lyon,SR-4,Emporia St.,06:47.4,21,06.0,21:06.0,111,2024GreenoDirksenCrossCountryInvitational,21.1,5
143,Kathryn Cameron,FR-1,St. Mary (Kan.),06:47.6,21,06.6,21:06.6,NA,2024GreenoDirksenCrossCountryInvitational,21.11,5
144,Cynthia Chaparro Belloc,SR-4,Hastings,06:47.7,21,06.9,21:06.9,112,2024GreenoDirksenCrossCountryInvitational,21.115,5
145,Sarah Farrens,SO-2,Rockhurst,06:49.0,21,11.0,21:11.0,113,2024GreenoDirksenCrossCountryInvitational,21.183333333333334,5
146,Molly McClung,SO-2,Rockhurst,06:49.7,21,13.0,21:13.0,114,2024GreenoDirksenCrossCountryInvitational,21.216666666666665,5
147,Lili-Rose Breheret,SO-2,Cowley College,06:49.8,21,13.4,21:13.4,NA,2024GreenoDirksenCrossCountryInvitational,21.223333333333333,5
148,Vanessa Lee,SR-4,Drake,06:50.1,21,14.4,21:14.4,NA,2024GreenoDirksenCrossCountryInvitational,21.24,5
149,Laura Hasemann,SO-2,Doane,06:50.2,21,14.6,21:14.6,115,2024GreenoDirksenCrossCountryInvitational,21.243333333333332,5
150,Mya Schweitzer,FR-1,Kansas Wesleyan,06:50.5,21,15.4,21:15.4,NA,2024GreenoDirksenCrossCountryInvitational,21.256666666666668,5
151,Autumn Simons,SR-4,St. Mary (Neb.),06:51.3,21,18.1,21:18.1,116,2024GreenoDirksenCrossCountryInvitational,21.301666666666666,5
152,Savannah Fischer,SO-2,Cowley College,06:51.4,21,18.2,21:18.2,NA,2024GreenoDirksenCrossCountryInvitational,21.303333333333335,5
153,Ava Klaassen,FR-1,St. Mary (Kan.),06:51.5,21,18.5,21:18.5,NA,2024GreenoDirksenCrossCountryInvitational,21.308333333333334,5
154,Molly Morris,SR-4,Rockhurst,06:51.7,21,19.4,21:19.4,117,2024GreenoDirksenCrossCountryInvitational,21.323333333333334,5
155,Mary O'Connor,SR-4,Rockhurst,06:52.3,21,21.0,21:21.0,NA,2024GreenoDirksenCrossCountryInvitational,21.35,5
156,Natalie Bogdanova Kirilova,SO-2,Iowa Central CC,06:53.2,21,23.8,21:23.8,118,2024GreenoDirksenCrossCountryInvitational,21.39666666666667,5
157,Grace Dow,SO-2,Hastings,06:53.5,21,25.0,21:25.0,119,2024GreenoDirksenCrossCountryInvitational,21.416666666666668,5
158,Claire Beikmann,SO-2,Concordia (Neb.),06:53.7,21,25.4,21:25.4,NA,2024GreenoDirksenCrossCountryInvitational,21.423333333333332,5
159,Teigan Davis,SO-2,St. Mary (Kan.),06:53.9,21,26.2,21:26.2,NA,2024GreenoDirksenCrossCountryInvitational,21.436666666666667,5
160,Madeline Kunz,JR-3,Wayne State (Neb.),06:54.4,21,27.6,21:27.6,120,2024GreenoDirksenCrossCountryInvitational,21.46,5
161,Diana Messick,FR-1,Emporia St.,06:54.8,21,28.9,21:28.9,121,2024GreenoDirksenCrossCountryInvitational,21.481666666666666,5
162,McKenna Lovehaug,SR-4,Nebraska,06:55.1,21,29.7,21:29.7,NA,2024GreenoDirksenCrossCountryInvitational,21.495,5
163,Payton Jorczak,FR-1,Nebraska Wesleyan,06:55.2,21,30.2,21:30.2,122,2024GreenoDirksenCrossCountryInvitational,21.503333333333334,5
164,Christina Martinson,FR-1,Concordia (Neb.),06:55.4,21,30.6,21:30.6,NA,2024GreenoDirksenCrossCountryInvitational,21.51,5
165,Kaylee Jenish,FR-1,Air Force,06:55.5,21,31.1,21:31.1,NA,2024GreenoDirksenCrossCountryInvitational,21.518333333333334,5
166,Callie Kirchner,SO-2,Wayne State (Neb.),06:56.3,21,33.7,21:33.7,123,2024GreenoDirksenCrossCountryInvitational,21.561666666666667,5
167,Marissa Miles,FR-1,Doane,06:56.7,21,34.9,21:34.9,124,2024GreenoDirksenCrossCountryInvitational,21.581666666666667,5
168,Alexis O'Mara,SO-2,Rockhurst,06:57.1,21,35.9,21:35.9,NA,2024GreenoDirksenCrossCountryInvitational,21.598333333333333,5
169,Hannah Quinn,FR-1,Drake,06:57.2,21,36.3,21:36.3,NA,2024GreenoDirksenCrossCountryInvitational,21.605,5
170,Lydia Edmonds,FR-1,Concordia (Neb.),06:57.6,21,37.7,21:37.7,NA,2024GreenoDirksenCrossCountryInvitational,21.628333333333334,5
171,Yenifer Juan Jesus,SO-2,St. Mary (Neb.),06:58.3,21,39.8,21:39.8,NA,2024GreenoDirksenCrossCountryInvitational,21.663333333333334,5
172,Koe Schultz,SO-2,Emporia St.,06:58.3,21,39.9,21:39.9,125,2024GreenoDirksenCrossCountryInvitational,21.665,5
173,Hailey Nordhus,FR-1,Kansas Wesleyan,06:58.7,21,41.0,21:41.0,NA,2024GreenoDirksenCrossCountryInvitational,21.683333333333334,5
174,Eva Georgoulopoulos,FR-1,St. Mary (Neb.),07:00.3,21,45.9,21:45.9,NA,2024GreenoDirksenCrossCountryInvitational,21.765,5
175,Ellie Jander,JR-3,Concordia (Neb.),07:01.3,21,49.2,21:49.2,NA,2024GreenoDirksenCrossCountryInvitational,21.82,5
176,Delaney Catron,SO-2,Doane,07:02.5,21,52.9,21:52.9,126,2024GreenoDirksenCrossCountryInvitational,21.881666666666668,5
177,Bethani Grove,SO-2,Missouri Western,07:04.0,21,57.5,21:57.5,127,2024GreenoDirksenCrossCountryInvitational,21.958333333333332,5
178,Kenzie Spencer,FR-1,Doane,07:04.3,21,58.4,21:58.4,NA,2024GreenoDirksenCrossCountryInvitational,21.973333333333333,5
179,Renee Kafka,FR-1,Omaha,07:04.9,22,00.2,22:00.2,NA,2024GreenoDirksenCrossCountryInvitational,22.003333333333334,5
180,Madeline Martin,SR-4,Emporia St.,07:06.9,22,06.4,22:06.4,128,2024GreenoDirksenCrossCountryInvitational,22.106666666666666,5
181,Makayla Little,FR-1,Kansas Wesleyan,07:07.4,22,08.1,22:08.1,NA,2024GreenoDirksenCrossCountryInvitational,22.135,5
182,Lauren Bishard,FR-1,St. Mary (Kan.),07:08.3,22,10.7,22:10.7,NA,2024GreenoDirksenCrossCountryInvitational,22.178333333333335,5
183,Sarah Mueller,FR-1,Rockhurst,07:08.5,22,11.4,22:11.4,NA,2024GreenoDirksenCrossCountryInvitational,22.19,5
184,Ava Brackhan,JR-3,Hastings,07:09.2,22,13.6,22:13.6,129,2024GreenoDirksenCrossCountryInvitational,22.226666666666667,5
185,Maddy Ramey,SO-2,Doane,07:10.5,22,17.7,22:17.7,NA,2024GreenoDirksenCrossCountryInvitational,22.295,5
186,Reese Kozisek,FR-1,Nebraska Wesleyan,07:10.6,22,18.1,22:18.1,130,2024GreenoDirksenCrossCountryInvitational,22.301666666666666,5
187,Bailey Cutler,SO-2,Missouri Western,07:11.2,22,20.0,22:20.0,131,2024GreenoDirksenCrossCountryInvitational,22.333333333333332,5
188,Jozlyn Barnes,SO-2,Wayne State (Neb.),07:11.5,22,20.7,22:20.7,132,2024GreenoDirksenCrossCountryInvitational,22.345,5
189,Ellie Beck,FR-1,Rockhurst,07:12.2,22,23.1,22:23.1,NA,2024GreenoDirksenCrossCountryInvitational,22.385,5
190,Emily Beckner,JR-3,Northern Colorado,07:13.3,22,26.3,22:26.3,NA,2024GreenoDirksenCrossCountryInvitational,22.438333333333333,5
191,Josie Smith,SO-2,Concordia (Neb.),07:13.6,22,27.4,22:27.4,NA,2024GreenoDirksenCrossCountryInvitational,22.456666666666667,5
192,Gabby Maryott,SO-2,Doane,07:14.3,22,29.4,22:29.4,NA,2024GreenoDirksenCrossCountryInvitational,22.49,5
193,Shania Santos,SR-4,Hastings,07:14.7,22,30.7,22:30.7,133,2024GreenoDirksenCrossCountryInvitational,22.511666666666667,5
194,Natalie Briggs,SO-2,St. Mary (Neb.),07:15.0,22,31.8,22:31.8,NA,2024GreenoDirksenCrossCountryInvitational,22.53,5
195,Sonya Rodekohr,2028,UNL Running Club,07:16.0,22,34.9,22:34.9,NA,2024GreenoDirksenCrossCountryInvitational,22.581666666666667,5
196,Joscelyn Monarrez,SO-2,Garden City CC,07:16.3,22,35.6,22:35.6,134,2024GreenoDirksenCrossCountryInvitational,22.593333333333334,5
197,Alyssa Ferguson,SO-2,Concordia (Neb.),07:16.7,22,36.8,22:36.8,NA,2024GreenoDirksenCrossCountryInvitational,22.613333333333333,5
198,Peyton Bell,SO-2,St. Mary (Neb.),07:16.8,22,37.4,22:37.4,NA,2024GreenoDirksenCrossCountryInvitational,22.623333333333335,5
199,Pauline Althoff,FR-1,Cowley College,07:17.5,22,39.4,22:39.4,NA,2024GreenoDirksenCrossCountryInvitational,22.656666666666666,5
200,Nikola Prochazkova,JR-3,Wayne State (Neb.),07:17.9,22,40.7,22:40.7,135,2024GreenoDirksenCrossCountryInvitational,22.678333333333335,5
201,Emily Lytle,SO-2,Doane,07:18.6,22,42.8,22:42.8,NA,2024GreenoDirksenCrossCountryInvitational,22.713333333333335,5
202,Bella Wiltfong,JR-3,Rockhurst,07:18.8,22,43.5,22:43.5,NA,2024GreenoDirksenCrossCountryInvitational,22.725,5
203,Madi McKie,FR-1,Wayne State (Neb.),07:19.7,22,46.2,22:46.2,136,2024GreenoDirksenCrossCountryInvitational,22.77,5
204,Kiley Craft,JR-3,St. Mary (Neb.),07:22.0,22,53.3,22:53.3,NA,2024GreenoDirksenCrossCountryInvitational,22.888333333333332,5
205,Snegugu Mkhize,FR-1,Colby CC,07:22.9,22,56.2,22:56.2,NA,2024GreenoDirksenCrossCountryInvitational,22.936666666666667,5
206,Theresa Berger,FR-1,Rockhurst,07:23.4,22,57.7,22:57.7,NA,2024GreenoDirksenCrossCountryInvitational,22.961666666666666,5
207,Kaitlyn Thalman,SO-2,St. Mary (Neb.),07:24.2,23,00.3,23:00.3,NA,2024GreenoDirksenCrossCountryInvitational,23.005,5
208,Joni Schroeder,JR-3,Kansas Wesleyan,07:25.4,23,03.9,23:03.9,NA,2024GreenoDirksenCrossCountryInvitational,23.065,5
209,Mesa Casper,FR-1,St. Mary (Kan.),07:26.2,23,06.5,23:06.5,NA,2024GreenoDirksenCrossCountryInvitational,23.108333333333334,5
210,Maelee Beacom,JR-3,Wayne State (Neb.),07:27.1,23,09.4,23:09.4,NA,2024GreenoDirksenCrossCountryInvitational,23.156666666666666,5
211,Annalynn Earley,SR-4,Rockhurst,07:28.5,23,13.8,23:13.8,NA,2024GreenoDirksenCrossCountryInvitational,23.23,5
212,Ella Easton,FR-1,Rockhurst,07:30.1,23,18.6,23:18.6,NA,2024GreenoDirksenCrossCountryInvitational,23.31,5
213,Whitney Cure,SO-2,Hastings,07:30.8,23,20.6,23:20.6,137,2024GreenoDirksenCrossCountryInvitational,23.343333333333334,5
214,Kat Hudson,FR-1,Missouri Western,07:33.4,23,28.9,23:28.9,138,2024GreenoDirksenCrossCountryInvitational,23.481666666666666,5
215,Mira Comstock,FR-1,Nebraska Wesleyan,07:37.9,23,42.8,23:42.8,139,2024GreenoDirksenCrossCountryInvitational,23.713333333333335,5
216,Emma McAlister,FR-1,Kansas Wesleyan,07:38.3,23,44.1,23:44.1,NA,2024GreenoDirksenCrossCountryInvitational,23.735,5
217,Katelyn Nix,SR-4,Concordia (Neb.),07:39.0,23,46.4,23:46.4,NA,2024GreenoDirksenCrossCountryInvitational,23.773333333333333,5
218,Beverlyne Kiptarus,SO-2,Garden City CC,07:39.6,23,48.0,23:48.0,140,2024GreenoDirksenCrossCountryInvitational,23.8,5
219,Grace Pyle,FR-1,Nebraska Wesleyan,07:40.9,23,52.1,23:52.1,141,2024GreenoDirksenCrossCountryInvitational,23.868333333333332,5
220,Taylor Thorp,SR-4,Wayne State (Neb.),07:41.5,23,54.0,23:54.0,NA,2024GreenoDirksenCrossCountryInvitational,23.9,5
221,Katie Mead,SR-4,Rockhurst,07:42.7,23,57.8,23:57.8,NA,2024GreenoDirksenCrossCountryInvitational,23.963333333333335,5
222,Jessica Heyen,Junior,Unattached,07:45.9,24,07.6,24:07.6,NA,2024GreenoDirksenCrossCountryInvitational,24.126666666666665,5
223,Allyson Taylor,SO-2,Kansas Wesleyan,07:50.2,24,21.1,24:21.1,NA,2024GreenoDirksenCrossCountryInvitational,24.351666666666667,5
224,Rachel Ada,JR-3,Concordia (Neb.),08:01.5,24,56.2,24:56.2,NA,2024GreenoDirksenCrossCountryInvitational,24.936666666666667,5
225,Brooklyn Brandt,FR-1,Hastings,08:04.5,25,05.3,25:05.3,142,2024GreenoDirksenCrossCountryInvitational,25.088333333333335,5
226,Jaelyn Rumback,SO-2,Cloud County CC,08:08.7,25,18.7,25:18.7,143,2024GreenoDirksenCrossCountryInvitational,25.311666666666667,5
227,Hallie Verhage,2028,UNL Running Club,08:19.0,25,50.7,25:50.7,NA,2024GreenoDirksenCrossCountryInvitational,25.845,5
228,Dari Cook,FR-1,Iowa Central CC,08:30.9,26,27.7,26:27.7,NA,2024GreenoDirksenCrossCountryInvitational,26.461666666666666,5
229,Brynne Marie Purvis,FR-1,Fort Hays Tech Northwest,09:03.4,28,08.6,28:08.6,NA,2024GreenoDirksenCrossCountryInvitational,28.143333333333334,5
230,Hasset Kassa,FR-1,Cloud County CC,10:21.2,32,10.3,32:10.3,144,2024GreenoDirksenCrossCountryInvitational,32.17166666666667,5
1,Sadie Sigfstead,JR-3,Villanova,05:20.7,19,55.7,19:55.7,1,2024NuttycombeInvitationalChampionship,19.928333333333335,6
2,Florence Caron,JR-3,Penn State,05:22.7,20,03.2,20:03.2,2,2024NuttycombeInvitationalChampionship,20.053333333333335,6
3,Rosina Machu,SR-4,Gonzaga,05:23.5,20,06.2,20:06.2,3,2024NuttycombeInvitationalChampionship,20.10333333333333,6
4,Phoebe Anderson,SR-4,Columbia,05:24.9,20,11.4,20:11.4,4,2024NuttycombeInvitationalChampionship,20.19,6
5,Kimberley May,SR-4,Providence,05:25.2,20,12.4,20:12.4,5,2024NuttycombeInvitationalChampionship,20.206666666666667,6
6,Erin Vringer,SO-2,Utah,05:25.6,20,14.2,20:14.2,6,2024NuttycombeInvitationalChampionship,20.236666666666668,6
7,Melissa Riggins,JR-3,Georgetown,05:26.1,20,16.1,20:16.1,7,2024NuttycombeInvitationalChampionship,20.268333333333334,6
8,Maeve Stiles,JR-3,Washington,05:26.6,20,17.9,20:17.9,8,2024NuttycombeInvitationalChampionship,20.298333333333332,6
9,Carly Wilkes,JR-3,Furman,05:26.8,20,18.4,20:18.4,9,2024NuttycombeInvitationalChampionship,20.306666666666665,6
10,Brynn Brown,SR-4,North Carolina,05:28.0,20,23.0,20:23.0,10,2024NuttycombeInvitationalChampionship,20.383333333333333,6
11,Nicole Vanasse,JR-3,Villanova,05:28.1,20,23.3,20:23.3,11,2024NuttycombeInvitationalChampionship,20.388333333333332,6
12,Julia David-Smith,JR-3,Washington,05:28.5,20,24.8,20:24.8,12,2024NuttycombeInvitationalChampionship,20.413333333333334,6
13,Shannon Flockhart,SR-4,Providence,05:28.8,20,25.8,20:25.8,13,2024NuttycombeInvitationalChampionship,20.43,6
14,Lucy Jenks,SR-4,Georgetown,05:29.0,20,26.7,20:26.7,14,2024NuttycombeInvitationalChampionship,20.445,6
15,Fatima Alanis,SR-4,North Carolina,05:29.8,20,29.8,20:29.8,15,2024NuttycombeInvitationalChampionship,20.496666666666666,6
16,Maelle Porcher,JR-3,Iowa State,05:29.9,20,30.0,20:30.0,16,2024NuttycombeInvitationalChampionship,20.5,6
17,Bieke Schipperen,SO-2,Florida State,05:29.9,20,30.2,20:30.2,17,2024NuttycombeInvitationalChampionship,20.503333333333334,6
18,Mia Barnett,JR-3,Oregon,05:30.1,20,30.7,20:30.7,18,2024NuttycombeInvitationalChampionship,20.511666666666667,6
19,Alex Millard,SR-4,Providence,05:30.2,20,31.1,20:31.1,19,2024NuttycombeInvitationalChampionship,20.518333333333334,6
20,Jenny Schilling,JR-3,Virginia,05:30.8,20,33.4,20:33.4,20,2024NuttycombeInvitationalChampionship,20.556666666666665,6
21,Mckaylie Caesar,SR-4,Utah,05:31.2,20,34.7,20:34.7,21,2024NuttycombeInvitationalChampionship,20.578333333333333,6
22,Savannah Roark,SR-4,Syracuse,05:31.8,20,37.0,20:37.0,22,2024NuttycombeInvitationalChampionship,20.616666666666667,6
23,Fleur Templier,SO-2,Portland,05:31.9,20,37.4,20:37.4,23,2024NuttycombeInvitationalChampionship,20.623333333333335,6
24,Kaylie Armitage,JR-3,Furman,05:31.9,20,37.6,20:37.6,24,2024NuttycombeInvitationalChampionship,20.626666666666665,6
25,Katarzyna Nowakowska,SO-2,Utah,05:32.1,20,38.1,20:38.1,25,2024NuttycombeInvitationalChampionship,20.635,6
26,Gillian Bushee,SO-2,Virginia,05:32.3,20,39.1,20:39.1,26,2024NuttycombeInvitationalChampionship,20.651666666666667,6
27,Amina Maatoug,SR-4,Washington,05:32.4,20,39.4,20:39.4,27,2024NuttycombeInvitationalChampionship,20.656666666666666,6
28,Kate Laurent,JR-3,Oregon State,05:32.5,20,39.7,20:39.7,28,2024NuttycombeInvitationalChampionship,20.661666666666665,6
29,Chloe Foerster,JR-3,Washington,05:32.7,20,40.5,20:40.5,29,2024NuttycombeInvitationalChampionship,20.675,6
30,Shea Ruhly,SR-4,Wisconsin,05:32.7,20,40.6,20:40.6,30,2024NuttycombeInvitationalChampionship,20.676666666666666,6
31,Lindsay Cunningham,SR-4,Wisconsin,05:32.9,20,41.2,20:41.2,31,2024NuttycombeInvitationalChampionship,20.686666666666667,6
32,Charlotte Tomkinson,JR-3,Georgetown,05:33.5,20,43.4,20:43.4,32,2024NuttycombeInvitationalChampionship,20.723333333333333,6
33,Morgan Jensen,SR-4,Utah,05:33.9,20,45.1,20:45.1,33,2024NuttycombeInvitationalChampionship,20.751666666666665,6
34,India Weir,SR-4,Washington,05:34.5,20,47.2,20:47.2,34,2024NuttycombeInvitationalChampionship,20.786666666666665,6
35,Wilma Nielsen,SR-4,Oregon,05:34.7,20,47.9,20:47.9,35,2024NuttycombeInvitationalChampionship,20.798333333333332,6
36,Carolyn Shult,SR-4,Wisconsin,05:35.4,20,50.5,20:50.5,36,2024NuttycombeInvitationalChampionship,20.841666666666665,6
37,Hayley Kitching,SO-2,Penn State,05:35.5,20,50.8,20:50.8,37,2024NuttycombeInvitationalChampionship,20.846666666666668,6
38,Annika Cutforth,SO-2,Wisconsin,05:35.6,20,51.3,20:51.3,38,2024NuttycombeInvitationalChampionship,20.855,6
39,Elizabeth Barlow,SR-4,Florida State,05:35.8,20,52.2,20:52.2,39,2024NuttycombeInvitationalChampionship,20.87,6
40,Brooke Wilson,SO-2,Wake Forest,05:36.0,20,52.7,20:52.7,40,2024NuttycombeInvitationalChampionship,20.878333333333334,6
41,Sierra Bower,SR-4,Furman,05:36.0,20,52.9,20:52.9,41,2024NuttycombeInvitationalChampionship,20.881666666666668,6
42,Mackenzie Barnett,SR-4,Lipscomb,05:36.1,20,53.0,20:53.0,42,2024NuttycombeInvitationalChampionship,20.883333333333333,6
43,Logan Hofstee,FR-1,Gonzaga,05:36.4,20,54.2,20:54.2,43,2024NuttycombeInvitationalChampionship,20.903333333333332,6
44,Barrett Justema,SO-2,Georgetown,05:36.4,20,54.3,20:54.3,44,2024NuttycombeInvitationalChampionship,20.905,6
45,Avril Andre,SO-2,Illinois,05:36.6,20,55.1,20:55.1,45,2024NuttycombeInvitationalChampionship,20.918333333333333,6
46,Jenna Mulhern,JR-3,Furman,05:36.7,20,55.3,20:55.3,46,2024NuttycombeInvitationalChampionship,20.921666666666667,6
47,Fiona McLoughlin,SR-4,Wisconsin,05:36.9,20,56.2,20:56.2,47,2024NuttycombeInvitationalChampionship,20.936666666666667,6
48,Almi Nerurkar,JR-3,Georgetown,05:37.1,20,56.7,20:56.7,48,2024NuttycombeInvitationalChampionship,20.945,6
49,Eva Klingbeil,JR-3,North Carolina,05:37.1,20,56.8,20:56.8,49,2024NuttycombeInvitationalChampionship,20.946666666666665,6
50,Harley Kletz,SO-2,Lipscomb,05:37.1,20,57.1,20:57.1,50,2024NuttycombeInvitationalChampionship,20.951666666666668,6
51,Colbi Borland,SR-4,Lipscomb,05:37.4,20,57.9,20:57.9,51,2024NuttycombeInvitationalChampionship,20.965,6
52,Roshni Singh,SR-4,Boston College,05:37.6,20,58.6,20:58.6,52,2024NuttycombeInvitationalChampionship,20.976666666666667,6
53,Aoife Dunne,SR-4,Boston College,05:37.6,20,58.8,20:58.8,53,2024NuttycombeInvitationalChampionship,20.98,6
54,Annastasia Peters,SO-2,Utah,05:38.2,21,01.0,21:01.0,54,2024NuttycombeInvitationalChampionship,21.016666666666666,6
55,Mary Caroline Heinen,SR-4,Michigan,05:38.5,21,02.3,21:02.3,55,2024NuttycombeInvitationalChampionship,21.038333333333334,6
56,Jessica Frydenlund,SO-2,Gonzaga,05:38.6,21,02.7,21:02.7,56,2024NuttycombeInvitationalChampionship,21.045,6
57,Willow Collins,JR-3,Gonzaga,05:39.1,21,04.4,21:04.4,57,2024NuttycombeInvitationalChampionship,21.073333333333334,6
58,Laura Mooney,SR-4,Providence,05:39.3,21,05.3,21:05.3,58,2024NuttycombeInvitationalChampionship,21.088333333333335,6
59,Sophia Toti,SR-4,Penn State,05:39.4,21,05.4,21:05.4,59,2024NuttycombeInvitationalChampionship,21.09,6
60,Jayden Harberts,FR-1,Syracuse,05:39.6,21,06.1,21:06.1,60,2024NuttycombeInvitationalChampionship,21.101666666666667,6
61,Chloe Wellings,SR-4,Northwestern,05:39.8,21,06.8,21:06.8,61,2024NuttycombeInvitationalChampionship,21.113333333333333,6
62,Anika Thompson,SR-4,Oregon,05:39.8,21,06.9,21:06.9,62,2024NuttycombeInvitationalChampionship,21.115,6
63,Madaline Ullom,SR-4,Penn State,05:40.0,21,07.5,21:07.5,63,2024NuttycombeInvitationalChampionship,21.125,6
64,Abby Lewis,FR-1,Boston College,05:40.0,21,07.8,21:07.8,64,2024NuttycombeInvitationalChampionship,21.13,6
65,Maebh Richardson,SO-2,Portland,05:40.1,21,08.0,21:08.0,65,2024NuttycombeInvitationalChampionship,21.133333333333333,6
66,Emma Eastman,JR-3,Syracuse,05:40.2,21,08.5,21:08.5,66,2024NuttycombeInvitationalChampionship,21.141666666666666,6
67,Bella Jacobsen,SO-2,Wisconsin,05:40.5,21,09.5,21:09.5,67,2024NuttycombeInvitationalChampionship,21.158333333333335,6
68,Charlotte Sinke,FR-1,Oregon,05:40.7,21,10.2,21:10.2,68,2024NuttycombeInvitationalChampionship,21.17,6
69,Rylie Lusk,SR-4,Syracuse,05:41.0,21,11.4,21:11.4,69,2024NuttycombeInvitationalChampionship,21.19,6
70,Holly Smith,JR-3,Northwestern,05:41.1,21,11.9,21:11.9,70,2024NuttycombeInvitationalChampionship,21.198333333333334,6
71,Taryn Parks,SR-4,North Carolina,05:41.2,21,12.2,21:12.2,71,2024NuttycombeInvitationalChampionship,21.203333333333333,6
72,Abby Loveys,SR-4,Boston College,05:41.2,21,12.3,21:12.3,72,2024NuttycombeInvitationalChampionship,21.205,6
73,Emily Robinson,SR-4,Villanova,05:41.4,21,13.1,21:13.1,73,2024NuttycombeInvitationalChampionship,21.218333333333334,6
74,Marika Couture,FR-1,Utah,05:41.6,21,13.6,21:13.6,74,2024NuttycombeInvitationalChampionship,21.226666666666667,6
75,Halle Hill,SR-4,Illinois,05:41.7,21,14.0,21:14.0,75,2024NuttycombeInvitationalChampionship,21.233333333333334,6
76,Penelopea Gordon,SO-2,Michigan,05:41.9,21,14.7,21:14.7,76,2024NuttycombeInvitationalChampionship,21.245,6
77,Lindsey Peters,JR-3,Utah,05:42.0,21,15.0,21:15.0,77,2024NuttycombeInvitationalChampionship,21.25,6
78,Elizabeth Whaley,SO-2,Wake Forest,05:42.0,21,15.2,21:15.2,78,2024NuttycombeInvitationalChampionship,21.253333333333334,6
79,Fiona Max,SR-4,Georgetown,05:42.5,21,16.9,21:16.9,79,2024NuttycombeInvitationalChampionship,21.281666666666666,6
80,Molly Dreher,SR-4,Wake Forest,05:42.8,21,18.1,21:18.1,80,2024NuttycombeInvitationalChampionship,21.301666666666666,6
81,Ali Ince,FR-1,Oregon,05:42.9,21,18.7,21:18.7,81,2024NuttycombeInvitationalChampionship,21.311666666666667,6
82,Camryn Menninger,SR-4,Virginia,05:43.0,21,18.9,21:18.9,82,2024NuttycombeInvitationalChampionship,21.315,6
83,Ava Earl,SR-4,Northwestern,05:43.2,21,19.8,21:19.8,83,2024NuttycombeInvitationalChampionship,21.33,6
84,Mary Ellen Eudaly,JR-3,Virginia,05:43.2,21,19.8,21:19.8,84,2024NuttycombeInvitationalChampionship,21.33,6
85,Emily Bush,FR-1,Providence,05:43.3,21,20.1,21:20.1,85,2024NuttycombeInvitationalChampionship,21.335,6
86,Leane Willemse,JR-3,Wisconsin,05:43.5,21,20.7,21:20.7,86,2024NuttycombeInvitationalChampionship,21.345,6
87,Ava Criniti,FR-1,Northwestern,05:43.5,21,20.9,21:20.9,87,2024NuttycombeInvitationalChampionship,21.348333333333333,6
88,Eimy Martinez,JR-3,Oregon State,05:43.6,21,21.2,21:21.2,88,2024NuttycombeInvitationalChampionship,21.35333333333333,6
89,Nicole Matysik,SR-4,Furman,05:43.7,21,21.6,21:21.6,89,2024NuttycombeInvitationalChampionship,21.36,6
90,Maddie Gardiner,FR-1,North Carolina,05:43.8,21,22.1,21:22.1,90,2024NuttycombeInvitationalChampionship,21.368333333333332,6
91,Brooke Johnston,SO-2,Michigan,05:43.9,21,22.4,21:22.4,91,2024NuttycombeInvitationalChampionship,21.373333333333335,6
92,Cate DeSousa,SO-2,Virginia,05:44.1,21,22.9,21:22.9,92,2024NuttycombeInvitationalChampionship,21.381666666666668,6
93,Cara Laverty,SO-2,Providence,05:44.2,21,23.6,21:23.6,93,2024NuttycombeInvitationalChampionship,21.393333333333334,6
94,Riley Beach,JR-3,Iowa State,05:44.3,21,23.8,21:23.8,94,2024NuttycombeInvitationalChampionship,21.39666666666667,6
95,Bella Heikes,SR-4,Iowa State,05:44.4,21,24.3,21:24.3,95,2024NuttycombeInvitationalChampionship,21.405,6
96,Megan Roberts,FR-1,Texas A&M,05:44.5,21,24.5,21:24.5,96,2024NuttycombeInvitationalChampionship,21.408333333333335,6
97,Sophie Atkinson,SR-4,Virginia,05:44.7,21,25.2,21:25.2,97,2024NuttycombeInvitationalChampionship,21.42,6
98,Olivia Joly,SR-4,Syracuse,05:44.8,21,25.7,21:25.7,98,2024NuttycombeInvitationalChampionship,21.428333333333335,6
99,Alli Boehm,SR-4,Wake Forest,05:44.9,21,25.9,21:25.9,99,2024NuttycombeInvitationalChampionship,21.431666666666665,6
100,Madeline Heintz,JR-3,Syracuse,05:44.9,21,26.0,21:26.0,100,2024NuttycombeInvitationalChampionship,21.433333333333334,6
101,Sadie Tuckwood,SR-4,Gonzaga,05:45.0,21,26.2,21:26.2,101,2024NuttycombeInvitationalChampionship,21.436666666666667,6
102,Anna Sentner,SR-4,Florida State,05:45.3,21,27.4,21:27.4,102,2024NuttycombeInvitationalChampionship,21.456666666666667,6
103,Ciara O'Shea,FR-1,North Carolina,05:45.4,21,28.0,21:28.0,103,2024NuttycombeInvitationalChampionship,21.466666666666665,6
104,Tatum David,SO-2,Virginia,05:45.6,21,28.6,21:28.6,104,2024NuttycombeInvitationalChampionship,21.476666666666667,6
