PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
220,Taylor Thorp,SR-4,Wayne State (Neb.),07:41.5,23:54.0,,
221,Katie Mead,SR-4,Rockhurst,07:42.7,23:57.8,,
222,Jessica Heyen,Junior,Unattached,07:45.9,24:07.6,,
223,Allyson Taylor,SO-2,Kansas Wesleyan,07:50.2,24:21.1,,
224,Rachel Ada,JR-3,Concordia (Neb.),08:01.5,24:56.2,,
225,Brooklyn Brandt,FR-1,Hastings,08:04.5,25:05.3,142,
226,Jaelyn Rumback,SO-2,Cloud County CC,08:08.7,25:18.7,143,
227,Hallie Verhage,2028,UNL Running Club,08:19.0,25:50.7,,
228,Dari Cook,FR-1,Iowa Central CC,08:30.9,26:27.7,,
229,Brynne Marie Purvis,FR-1,Fort Hays Tech Northwest,09:03.4,28:08.6,,
230,Hasset Kassa,FR-1,Cloud County CC,10:21.2,32:10.3,144,
0,Becka Karnik,FR-1,St. Mary (Neb.),,DNF,,
0,Delaney Vacek,JR-3,Nebraska Wesleyan,,DNF,,
0,Alexis Borum,SO-2,Rockhurst,,DNF,,
0,Alexis O'Connell,FR-1,Nebraska Wesleyan,,DNF,,
0,Alison Bradford,FR-1,Doane,,DNF,,
0,Carly Manchester,JR-3,Creighton,,DNF,,
0,Mara Hemmer,SR-4,Nebraska-Kearney,,DNF,,
0,Jilee Golus,SR-4,Hastings,,DNS,,
0,Heidi Grimmett,JR-3,Emporia St.,,DNS,,
0,MJ Hageman,SO-2,Missouri Western,,DNS,,
0,Abby Smith,SO-2,Missouri Western,,DNS,,
0,Payton Pollard,FR-1,Iowa Western CC,,DNS,,
0,Gracie Foster,FR-1,Drake,,DNS,,
0,Lyndsey Caba,JR-3,Nebraska Wesleyan,,DNS,,
0,Sammi Vojslavek,JR-3,Concordia (Neb.),,DNS,,
0,Lanae Aerts,JR-3,Nebraska Wesleyan,,DNS,,
0,Aubrie Johnson,FR-1,Doane,,DNS,,
0,Lily Heinen,FR-1,Kansas Wesleyan,,DNS,,
