PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
93,Emma Atkinson,SR-4,Minnesota,05:29.9,20:30.0,71
94,Madaline Ullom,SR-4,Penn State,05:30.0,20:30.3,72
95,Nikita Moore,JR-3,Northern Arizona,05:30.1,20:30.7,73
96,Angelina Napoleon,FR-1,NC State,05:30.1,20:31.0,74
97,Karrie Baloga,SO-2,Northern Arizona,05:30.2,20:31.1,75
98,Amina Maatoug,SR-4,Washington,05:30.2,20:31.1,76
99,Gwenno Goode,SO-2,La Salle,05:30.3,20:31.4,
100,Klaudia Kazimierska,SR-4,Oregon,05:30.4,20:31.8,77
101,Savannah Roark,SR-4,Syracuse,05:30.5,20:32.1,78
102,Jenna Zydanowicz,SR-4,Connecticut,05:30.6,20:32.6,
103,Maelle Porcher,JR-3,Iowa State,05:30.7,20:32.9,
104,Ali Ince,FR-1,Oregon,05:30.7,20:33.0,79
105,Daniella Santos,SR-4,Ohio State,05:30.8,20:33.6,
106,Emma Eastman,JR-3,Syracuse,05:30.9,20:33.7,80
107,Jessie Secor,SO-2,Colorado,05:31.1,20:34.4,
108,Bethan Morley,JR-3,Florida,05:31.1,20:34.4,81
109,Loral Winn,SR-4,Ole Miss,05:31.1,20:34.5,
110,Almi Nerurkar,JR-3,Georgetown,05:31.1,20:34.6,82
111,Lindsay Cunningham,SR-4,Wisconsin,05:31.7,20:36.6,83
112,Tatum David,FR-1,Virginia,05:31.9,20:37.6,84
113,India Weir,SR-4,Washington,05:31.9,20:37.6,85
114,Charlotte Tomkinson,JR-3,Georgetown,05:32.0,20:37.8,86
115,Rylie Lusk,SR-4,Syracuse,05:32.0,20:37.9,87
116,Allison Wilson,SR-4,Florida,05:32.3,20:39.0,88
117,Kiara Smeltz,SR-4,Lipscomb,05:32.4,20:39.3,89
118,Tilly Simpson,JR-3,New Mexico,05:32.5,20:39.8,90
119,Julia Flynn,SO-2,Stanford,05:32.6,20:40.2,91
120,Mckaylie Caesar,SR-4,Utah,05:32.6,20:40.3,92
121,Lesley Green,SR-4,Chattanooga,05:32.7,20:40.5,
122,Eva Klingbeil,JR-3,North Carolina,05:32.8,20:40.7,93
123,Mena Scatchard,SR-4,Princeton,05:32.9,20:41.2,
124,Molly Malague,JR-3,Harvard,05:33.0,20:41.6,94
125,Erin Reidy,SR-4,Minnesota,05:33.1,20:42.0,95
126,Ciara O'Shea,FR-1,North Carolina,05:33.2,20:42.5,96
127,Wilma Nielsen,SR-4,Oregon,05:33.4,20:43.0,97
128,Anna Gardiner,FR-1,Providence,05:33.4,20:43.1,98
129,Kate Jortberg,SR-4,Georgia Tech,05:33.6,20:43.8,
130,Agnes McTighe,JR-3,Florida State,05:33.6,20:43.9,99
131,Laura Nicholson,SR-4,Toledo,05:33.6,20:43.9,100
132,Christina Nisoli,JR-3,New Mexico,05:33.6,20:44.0,101
