PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
52,Mattison Plummer,SR-4,Illinois State,05:36.8,20:55.9,52
53,Eimear McCarroll,FR-1,Bradley,05:36.9,20:56.3,53
54,Roisin Treacy,JR-3,Loyola (Ill.),05:37.1,20:57.0,54
55,Sheridan Wheeler,SO-2,Iowa State,05:37.3,20:57.7,55
56,Jessica Lutmer,SR-4,South Dakota St.,05:37.4,20:58.0,56
57,Taya Skelton,SR-4,Nebraska,05:37.5,20:58.4,57
58,Taylor Briggs,SR-4,Iowa State,05:37.6,20:58.9,58
59,Sarah Bertry,SR-4,Wichita State,05:37.7,20:59.0,59
60,Delia McDade Clay,SR-4,Loyola (Ill.),05:38.3,21:01.5,60
61,Emmaculate Jemutai,FR-1,Kansas,05:38.3,21:01.5,61
62,Nadia Phillips,SO-2,Minnesota,05:38.4,21:01.9,62
63,Nadia Potgieter,JR-3,Bradley,05:38.9,21:03.6,63
64,Cami Merickel,SR-4,Nebraska,05:39.4,21:05.4,64
65,Millie Hill,JR-3,Northern Iowa,05:39.4,21:05.7,65
66,Sophia Cino,FR-1,Bradley,05:39.9,21:07.3,66
67,Kiki Connell,SR-4,Iowa State,05:40.9,21:11.2,67
68,Melody Ochana,SR-4,Northern Iowa,05:41.0,21:11.6,68
69,Allison Newman,JR-3,Missouri,05:41.1,21:11.8,69
70,Emilie Meyer,SR-4,Drake,05:41.1,21:12.0,70
71,Elena Torres,FR-1,Iowa,05:41.3,21:12.5,71
72,Tessa Roe,FR-1,DePaul,05:41.3,21:12.6,72
73,Robyn Kowalski,JR-3,Tulsa,05:41.4,21:12.9,73
74,Kamryn Ensley,JR-3,Omaha,05:41.6,21:13.7,74
75,Grace Jostock,SR-4,Loyola (Ill.),05:41.6,21:13.7,75
76,Emma Hoins,SR-4,Northern Iowa,05:41.7,21:14.0,76
77,Mackenzie Aldridge,SR-4,Eastern Illinois,05:41.7,21:14.2,77
78,Maddy Whitman,JR-3,Northwestern,05:41.7,21:14.2,78
79,Payton Hinkle,SO-2,Oklahoma State,05:42.1,21:15.7,79
80,Eileen Seebon,SO-2,Loyola (Ill.),05:42.3,21:16.4,80
81,Breanna Burak,FR-1,Drake,05:42.5,21:17.1,81
82,Brenda Torres,SO-2,Eastern Illinois,05:43.4,21:20.3,82
83,Sarah Hosey,SO-2,Tulsa,05:43.6,21:21.1,83
84,Charlotte Cullen,FR-1,Missouri,05:43.7,21:21.7,84
85,Grace Waage,SR-4,South Dakota St.,05:43.9,21:22.3,85
86,Gracie Jacobs,FR-1,Kansas State,05:44.0,21:22.5,86
87,Delaney Fitzgerald,SO-2,Kansas,05:44.2,21:23.2,87
88,Meghan Dieball,SR-4,DePaul,05:44.5,21:24.5,88
89,Christine Jerono,FR-1,Kansas State,05:44.6,21:25.0,89
90,Madison Trevena,SR-4,Western Illinois,05:44.8,21:25.7,
91,McKenna Revord,SR-4,Missouri,05:44.8,21:25.8,90
92,Sophia Pelligreen,SO-2,Saint Louis,05:45.1,21:26.7,91
93,Matilda Laidlaw,FR-1,Tulsa,05:45.1,21:26.9,92
94,Cecilia Fisher,JR-3,Kansas State,05:45.3,21:27.3,93
95,Maggie Reed,JR-3,Illinois State,05:45.4,21:28.0,94
96,Sophie Coughlin,JR-3,Oklahoma,05:45.4,21:28.0,95
97,Jenna DeBates,FR-1,North Dakota State,05:45.5,21:28.3,96
98,Jenna Soine,SO-2,South Dakota St.,05:45.7,21:29.0,97
99,Kate Crawford,SR-4,Northern Iowa,05:46.3,21:31.2,98
100,Peyton Mcquillan,SR-4,Oklahoma,05:46.7,21:32.8,99
101,Mabry Bruhn,SO-2,Illinois,05:46.8,21:33.0,100
102,Anastasia Kirillov,SR-4,Drake,05:46.8,21:33.2,101
103,Skyler Balzer,FR-1,Bradley,05:47.0,21:33.9,102
104,Grace Link,SR-4,North Dakota State,05:47.1,21:34.2,103
105,Daniella Hubble,SR-4,Illinois,05:47.2,21:34.5,104
106,Ali Gillooly,SR-4,Loyola (Ill.),05:47.2,21:34.7,105
107,Kayla Christopherson,SR-4,South Dakota St.,05:47.4,21:35.4,106
108,Amber Aesoph,SR-4,Iowa,05:47.4,21:35.4,107
109,Daniela Martinez,SR-4,Illinois-Chicago,05:47.6,21:36.1,108
110,Paige Baker,SO-2,Kansas State,05:47.8,21:36.8,109
111,Mary Margaret Harris,SR-4,Missouri State,05:48.2,21:38.4,110
112,Lauren Schulze,JR-3,Illinois State,05:48.5,21:39.3,111
113,Anneken Viljoen,SR-4,Missouri,05:49.2,21:42.1,112
114,Tori Wingrove,JR-3,Kansas,05:49.6,21:43.6,113
115,Madison Volz,SR-4,DePaul,05:49.7,21:44.0,114
116,Emily Morden,SO-2,Saint Louis,05:50.1,21:45.4,115
117,Hillary Trainor,FR-1,Iowa,05:50.2,21:45.7,116
118,Kaitlyn Swartz,FR-1,Kansas,05:50.3,21:46.1,117
119,Astrid Van Breedam,FR-1,Illinois State,05:50.8,21:48.2,118
120,Ossly Murambidzi,FR-1,Oral Roberts,05:50.9,21:48.4,119
121,Audrey Ginsberg,JR-3,Illinois,05:51.1,21:49.0,120
122,Kenadi Krueger,SR-4,Kansas,05:51.5,21:50.8,121
123,Emery Mayfield,FR-1,Saint Louis,05:51.7,21:51.5,122
124,Vivian Wyller,FR-1,DePaul,05:51.8,21:51.5,123
125,Mya Kizer,SR-4,South Dakota St.,05:51.9,21:52.0,124
126,Alea Hardie,SO-2,Nebraska,05:52.0,21:52.5,125
127,Natalie Barnard,FR-1,Missouri,05:52.6,21:54.9,126
128,Bree Newport,FR-1,Kansas State,05:52.8,21:55.6,127
129,Eden Mueller,SO-2,Northern Iowa,05:52.9,21:55.8,128
130,Aleah Miller,JR-3,North Dakota State,05:53.0,21:56.4,129
131,Mariah Fenske,FR-1,South Dakota,05:54.1,22:00.2,130
132,Faith Ekart,FR-1,Wichita State,05:54.5,22:01.6,131
133,Starr Scott,SO-2,Saint Louis,05:54.5,22:01.8,132
134,Jalyssa Blazek,SO-2,Iowa,05:54.6,22:02.1,133
135,Praise Oyebanji,SO-2,Illinois-Chicago,05:55.9,22:07.1,134
136,Abby Ryon,SR-4,Iowa,05:56.0,22:07.4,135
137,Geneva Timmerman,FR-1,South Dakota,05:56.3,22:08.6,136
138,Tabitha Fox,SO-2,Missouri State,05:56.6,22:09.6,137
139,Jenna Muma,SR-4,Wichita State,05:56.7,22:10.0,138
140,Peyton Svehla,FR-1,South Dakota,05:56.9,22:10.7,139
141,Rushell Johnson,SR-4,Oral Roberts,05:56.9,22:10.8,140
142,Carly Manchester,JR-3,Creighton,05:57.1,22:11.4,141
143,Emily Nuttall,SO-2,Missouri State,05:57.6,22:13.4,142
144,Kiera Snyder,SR-4,Oklahoma,05:57.7,22:13.7,143
145,Kylie Haacke,SR-4,Eastern Illinois,05:57.7,22:13.9,144
146,Reagan Berg,FR-1,North Dakota State,05:57.8,22:14.1,145
147,Maleigha Huston,SR-4,Western Illinois,05:58.0,22:14.9,
148,Kennady Anderson,FR-1,Illinois,05:58.2,22:15.4,146
149,Zoie Kiddy,JR-3,Oral Roberts,05:58.5,22:16.8,147
